,0
emb_34,0.013345357961952686
emb_33,0.012950058095157146
emb_74,0.012513930909335613
emb_80,0.01225819531828165
finding_Nodule,0.011859169229865074
emb_22,0.011690981686115265
emb_5,0.011480474844574928
emb_102,0.011430967599153519
emb_112,0.011327743530273438
emb_90,0.011171316727995872
emb_105,0.010984636843204498
emb_50,0.010844110511243343
emb_61,0.010747517459094524
emb_10,0.01051834225654602
emb_111,0.010491843335330486
emb_48,0.010417809709906578
emb_12,0.010275213047862053
emb_72,0.010192407295107841
emb_121,0.01003063004463911
emb_96,0.009954611770808697
Follow-up #,0.009765775874257088
emb_100,0.009750476107001305
emb_53,0.009595456533133984
emb_98,0.009539595805108547
emb_126,0.009512609802186489
emb_25,0.009501795284450054
emb_85,0.009497525170445442
emb_47,0.009452996775507927
emb_14,0.009443119168281555
emb_118,0.009417155757546425
emb_69,0.009310649707913399
emb_21,0.009246639907360077
emb_32,0.009083385579288006
emb_104,0.009017491713166237
emb_62,0.008985044434666634
emb_41,0.008827916346490383
emb_57,0.008814009837806225
view_PA,0.008780207484960556
emb_73,0.00865497812628746
emb_52,0.008632777258753777
emb_117,0.008593739941716194
emb_58,0.00854771863669157
emb_77,0.008517066948115826
emb_95,0.008470024913549423
emb_70,0.008441314101219177
emb_20,0.00841155368834734
emb_51,0.008338302373886108
emb_45,0.008324113674461842
emb_59,0.00829225592315197
emb_42,0.008287842385470867
emb_68,0.0082679009065032
emb_81,0.00824139453470707
emb_120,0.008124477230012417
emb_86,0.008049743250012398
emb_114,0.007871421054005623
emb_26,0.007829940877854824
emb_127,0.00762445293366909
emb_40,0.007579336874186993
emb_8,0.007565596140921116
emb_36,0.0075490763410925865
emb_123,0.007533872500061989
emb_84,0.007523890119045973
emb_27,0.007487453054636717
emb_67,0.007479874417185783
emb_125,0.007391841616481543
emb_19,0.007309865206480026
emb_103,0.0072331503033638
emb_89,0.007225222885608673
emb_39,0.007193151395767927
emb_31,0.007168524898588657
emb_44,0.007126785349100828
emb_122,0.0070898947305977345
emb_75,0.0070552402175962925
emb_92,0.007052416447550058
emb_37,0.007051293272525072
emb_119,0.007043336983770132
emb_54,0.007038586772978306
emb_63,0.007020300719887018
emb_15,0.006974648218601942
emb_87,0.006925573106855154
emb_7,0.006918851751834154
emb_56,0.006916148122400045
emb_99,0.006857897154986858
emb_97,0.006783190183341503
emb_88,0.006752806715667248
emb_38,0.0066968463361263275
emb_106,0.0066726007498800755
emb_18,0.006669530179351568
emb_113,0.006661409046500921
emb_110,0.006597024388611317
emb_115,0.00653658714145422
emb_82,0.0063681043684482574
emb_64,0.006208257284015417
emb_78,0.006076680030673742
emb_124,0.006032969802618027
emb_101,0.005930308718234301
emb_16,0.005867635365575552
emb_0,0.005867488216608763
emb_71,0.005807315465062857
emb_66,0.005668706726282835
emb_4,0.005623092409223318
emb_11,0.005616131704300642
emb_65,0.0056040347553789616
emb_35,0.005555593408644199
emb_93,0.005419756285846233
emb_17,0.005357224028557539
emb_24,0.0053090243600308895
emb_23,0.005209613125771284
emb_83,0.005075360182672739
emb_55,0.005060945637524128
emb_1,0.005048781167715788
emb_94,0.0049545662477612495
emb_3,0.004929438699036837
emb_116,0.0049026133492589
emb_2,0.00487031415104866
emb_28,0.004788973368704319
emb_108,0.004753324203193188
emb_13,0.004728063941001892
emb_6,0.004720903933048248
finding_No_Finding,0.004653246607631445
emb_79,0.00457670446485281
emb_109,0.004471888765692711
emb_46,0.00443904846906662
emb_9,0.004338609520345926
emb_43,0.004272577352821827
emb_29,0.00424004253000021
emb_91,0.004095562268048525
emb_49,0.004091750364750624
emb_30,0.004011996556073427
emb_76,0.0039662811905145645
Patient Age,0.003950843587517738
emb_107,0.0036538478452712297
emb_60,0.0036524159368127584
gender_M,0.0
finding_Pleural_Thickening,0.0
finding_Pneumothorax,0.0
Original Image Height,0.0
Original Image Width,0.0
Original Image Pixel Spacing x,0.0
finding_Pneumonia,0.0
finding_Mass,0.0
finding_Fibrosis,0.0
finding_Hernia,0.0
finding_Infiltration,0.0
finding_Effusion,0.0
finding_Edema,0.0
finding_Consolidation,0.0
finding_Emphysema,0.0
finding_Cardiomegaly,0.0
Original Image Pixel Spacing y,0.0
prior_study_count,0.0
finding_Atelectasis,0.0
